公司名,职位名,工作地点,薪资水平
上海智能制造功能平台有限公司,.net,上海-浦东,23500.0
万宝盛华企业管理咨询(上海)有限公司北京分公司,php,上海-浦东,27500.0
上海众茂医疗科技有限公司,java,上海-浦东,17500.0
上海术丛智能科技有限责任公司,java,上海-徐汇,21500.0
聚禾未来供应链科技(上海)有限公司,java,上海-浦东,17500.0
上海金亥通信设备有限公司,java,上海-浦东,22500.0
万宝盛华企业管理咨询(上海)有限公司北京分公司,java,上海-静安,35000.0
中科软科技股份有限公司,java,上海-浦东,15000.0
拼多多,java,上海-长宁,32500.0
瞬联讯通科技(北京)有限公司,java,上海-黄浦,18500.0
上海憬芯科技有限公司,python,上海-杨浦,18000.0
上海澄域环保工程有限公司,.net,上海-奉贤,16000.0
燕梭金融信息科技(上海)有限公司,java,上海-徐汇,17500.0
中信期货有限公司,java,上海-浦东,16000.0
巧数(上海)网络科技有限公司,php,上海-浦东,20000.0
上海信息人才服务有限公司,golang,上海-浦东,26500.0
无锡奥维斯管理咨询有限公司,java,上海-黄浦,19000.0
人车云(广州)网络科技有限公司,java,上海-闵行,25000.0
上海嘉扬人力资源管理有限公司,c#,上海-青浦,22500.0
上海沸橙信息科技有限公司,c++,上海-浦东,19000.0
博彦科技,golang,上海-徐汇,21500.0
外企德科,c++,上海-浦东,26500.0
上海艾杰飞人才管理咨询有限公司,c#,上海-闵行,22500.0
上海沃锐企业发展有限公司,java,上海-黄浦,17500.0
外企德科,java,上海-浦东,22000.0
护航科技股份有限公司,java,上海-浦东,16000.0
外企德科,java,上海-浦东,22500.0
安徽思脉网络信息服务有限公司,java,上海-浦东,5500.0
外企德科,c++,上海-浦东,22500.0
北京恩穗企业咨询有限责任公司,golang,上海-徐汇,52500.0
武汉佰钧成技术有限责任公司,java,上海-松江,22500.0
智联猎头,java,上海-杨浦,19000.0
外企德科,java,上海-浦东,22500.0
上海绯逸信息技术有限公司,java,上海-浦东,17000.0
无锡奥维斯管理咨询有限公司,java,上海-黄浦,20500.0
深圳南区人瑞人力资源服务有限公司,java,上海-徐汇,30000.0
外企德科,c++,上海,28000.0
上海特密物流有限公司,java,上海-浦东,11000.0
上海有亿信息科技有限公司,java,上海-闵行,8500.0
上海中科软科技有限公司,java,上海,12000.0
上海云瀚科技股份有限公司,java,上海-徐汇,4500.0
上海喆思电子技术有限公司,java,上海-黄浦,7000.0
上海正蓝电子信息系统有限公司,java,上海-徐汇,10000.0
智联猎头,java,上海-黄浦,15000.0
上海鸣皋教育科技有限公司,java,上海-宝山,8000.0
上海盈开美健网络科技有限公司,java,上海,12000.0
上海长庚信息技术股份有限公司,java,上海,10000.0
上海晨钦信息科技服务有限公司,java,上海-浦东,13500.0
上海宁盾信息科技有限公司,java,上海-徐汇,15000.0
博彦科技,java,上海-浦东,16500.0
京北方,java,上海-黄浦,13000.0
上海新朋程数据科技发展有限公司,java,上海,9500.0
珠海赞同科技有限公司,java,上海-虹口,17500.0
北京汉克时代科技有限公司,java,上海-浦东,11500.0
上海蓝桂汽车科技有限公司,java,上海,12000.0
上海无学网络科技有限公司,java,上海-徐汇,8000.0
沈阳东硕信息技术有限公司,java,上海-宝山,11000.0
申朴信息,java,上海-浦东,17000.0
上海数慧系统技术有限公司,java,上海-浦东,11500.0
皓炼投资(深圳)有限公司,java,上海-杨浦,11500.0
上海中汇亿达金融信息技术有限公司,java,上海-浦东,12500.0
广州市新文溯科技有限公司,java,上海-浦东,11500.0
北京领雁科技股份有限公司,java,上海-浦东,11000.0
中科软科技股份有限公司,java,上海-浦东,10500.0
深圳市嘉卉互联科技有限公司,java,上海-浦东,14500.0
上海太屋网络科技有限公司,java,上海-浦东,12000.0
上海久华信息科技股份有限公司,java,上海,12000.0
长三角安能新能源科技(上海)有限公司,java,上海-长宁,21500.0
上海天正信息科技有限公司,java,上海-浦东,9500.0
汇纳科技,java,上海-浦东,10000.0
上海赫则信息科技有限公司,java,上海-闵行,13000.0
沈阳东硕信息技术有限公司,java,上海-宝山,10500.0
上海天畅信息技术有限公司,java,上海-浦东,16500.0
上海儒一信息科技有限公司,java,上海-浦东,15000.0
有启(上海)信息科技有限公司,java,上海-徐汇,7000.0
朗新科技集团股份有限公司,java,上海-浦东,9500.0
上海晨钦信息科技服务有限公司,java,上海-浦东,17500.0
创趋科技(上海)股份有限公司,java,上海-虹口,15000.0
爱绿教育,java,上海-闵行,15000.0
软通动力信息技术(集团)股份有限公司,java,上海-杨浦,15500.0
京北方,java,上海-黄浦,14000.0
上海思普信息技术有限公司,java,上海-徐汇,13000.0
上海中科软科技有限公司,java,上海-徐汇,12000.0
上海云瀚科技股份有限公司,java,上海-徐汇,13500.0
法本信息,java,上海-徐汇,15000.0
中芯国际集成电路制造(上海)有限公司,java,上海,12500.0
上海能誉科技股份有限公司,java,上海-浦东,14000.0
上海思普信息技术有限公司,c++,上海-徐汇,11500.0
莒南县博大信息技术有限公司,java,上海-嘉定,10000.0
中科软科技股份有限公司,java,上海,16000.0
上海天正软件有限公司,java,上海-浦东,14000.0
拜椰特(上海)软件技术有限公司,java,上海,15000.0
星网信通,java,上海-徐汇,12000.0
上海孟伯智能物联网科技有限公司,java,上海-宝山,13500.0
长城保险经纪有限公司,java,上海-普陀,11500.0
北京启众软件科技有限公司,java,上海-浦东,12500.0
合肥凯捷技术有限公司,java,上海-徐汇,12000.0
上海平欣电子有限公司,java,上海-浦东,10500.0
京北方,java,上海-浦东,16500.0
广州宝巨科技有限公司,java,上海-杨浦,15000.0
上海博为峰软件技术股份有限公司,java,上海-浦东,15500.0
北京中佳瑞通科技有限公司,java,上海-浦东,13000.0
北京高阳金信信息技术有限公司,java,上海-浦东,12500.0
维恩贝特科技有限公司,java,上海-浦东,15000.0
京北方,java,上海-浦东,14500.0
上海嘉勉信息技术有限公司,java,上海,11500.0
深圳市拓保软件有限公司,java,上海-浦东,14500.0
仁卅信息科技(上海)有限公司,java,上海-普陀,11500.0
远弘信息技术(上海)有限公司,java,上海-闵行,16000.0
北京大美金信科技有限公司,java,上海-静安,9500.0
湖南金烽信息科技有限公司,java,上海-浦东,13500.0
中科软科技股份有限公司,java,上海-浦东,15000.0
上海德慧信息技术有限公司,java,上海-徐汇,13500.0
北京鼎薪科技有限公司,java,上海-浦东,15000.0
上海柏维信息技术有限公司,java,上海-静安,13500.0
