"18","苏州德锐特成像技术有限公司","高级软件工程师","苏州-虎丘","2万-3万"
"19","苏州金燧光电科技有限公司","高级软件工程师","苏州-吴江","1.8万-2万"
"20","宇锋智能","调度软件工程师","苏州-虎丘","1.5万-2.8万"
"21","苏州金色未来信息咨询股份有限公司","JAVA开发工程师","苏州-吴中","1.2万-1.8万"
"22","外企德科","软件开发工程师(javac++pythonjs)","苏州-虎丘","1.5万-3万"
"23","深圳南区人瑞人力资源服务有限公司","Java","苏州-姑苏","2万-4万"
"24","苏州金色未来信息咨询股份有限公司","java开发工程师","苏州-吴中","2万-3万"
"25","外企德科","软件开发工程师（Java/C/C++/Python/go/js）","苏州-虎丘","1.5万-3万"
"26","苏州路腾软件有限公司","Java开发工程师（初级）","苏州-虎丘","5千-8千"
"27","苏州金色未来信息咨询股份有限公司","资深Java开发+地理信息系统","苏州-吴中","1.8万-2.6万"
"28","外企德科","软件开发工程师","苏州-虎丘","1.5万-3万"
"29","南京派格测控科技有限公司","初级C++开发工程师","苏州-吴中","1万-2万"
"0","上海南康科技有限公司","开发工程师（苏州）","苏州-姑苏","8千-1万"
"1","外企德科","软件开发工程师（Java/Python/C/C++/JS）","苏州-虎丘","1.5万-3万"
"2","苏州百硕风咨询有限公司","java开发","苏州","1.2万-1.7万"
"3","江苏明岱信息科技有限公司","JAVA开发实习工程师","苏州","150-200/天"
"4","外企德科","软件开发工程师（双休，全额六险一金）","苏州-姑苏","1.7万-3万"
"5","航天驭星","软件开发工程师","苏州-太仓","6千-1.1万"
"6","南京佳强科技有限公司","JAVA开发","苏州","9千-1万"
"7","外企德科","Java开发工程师","苏州-虎丘","1.5万-3万"
"8","江苏远大信息股份有限公司","java开发工程师（张家港）","苏州-张家港","6千-8千"
"9","杰信软件科技（苏州）有限公司","java开发工程师（实习）","苏州","3千-4千"
"10","外企德科","高级Java工程师（双休、年终奖）","苏州-虎丘","1.5万-3万"
"11","苏州法斯特企业管理咨询有限公司","系统开发工程师","苏州-吴中","6千-7千"
"12","南京百力奥网络科技有限公司","Java开发工程师","苏州-吴中","7千-1.2万"
"13","外企德科","Java/C/C++/JS/Python/安卓/web开发","苏州-虎丘","1.5万-3万"
"14","苏州市企明科技有限公司","java实习软件工程师","苏州-吴中","5千-9千"
"15","苏州硅岛信息科技有限公司","软件开发工程师","苏州-虎丘","5千-7千"
"16","外企德科","java开发工程师","苏州-虎丘","1.8万-3.5万"
"17","苏州空谷网络科技有限公司","Java实习生","苏州-虎丘","3千-5千"
"18","数为科技(苏州)有限公司","Java开发工程师","苏州-吴中","1万-1.3万"
"19","外企德科","软件开发工程师（城市多、岗位多）","苏州-虎丘","1.5万-3万"
"20","中磊电子(苏州)有限公司技术研发中心","软件研发工程师（2023应届生）","苏州","9千-1.3万"
"21","中讯志远(武汉)科技有限公司","Java开发工程师","苏州-虎丘","8千-1.4万"
"22","外企德科","软件开发/Java/Python/C/C++/JS/测试开发都可","苏州-虎丘","1.5万-3万"
"23","苏州奇梦者科技有限公司","C语言开发工程师（实习）","苏州-吴中","150-200/天"
"24","苏州科之翼知识产权运营有限公司","Java开发工程师","苏州-虎丘","6千-1万"
"25","外企德科","软件开发","苏州-虎丘","1.6万-3万"
"26","江苏富士通通信技术有限公司","C#开发工程师","苏州-高新区","6千-1.2万"
"27","中讯志远(武汉)科技有限公司","Java开发工程师","苏州-虎丘","7千-1.4万"
"28","外企德科","java/c++/python/c/web/开发/测试岗位","苏州-虎丘","1.5万-3万"
"29","苏州浩宇南天信息科技有限公司","Java开发工程师","苏州","4千-8千"
"0","鞍山天汇科技有限公司","软件开发工程师","苏州-虎丘","1万-1.5万"
"1","外企德科","软件研发工程师","苏州-虎丘","1.7万-3万"
"2","苏州市企明科技有限公司","Java开发工程师","苏州-吴中","1.5万-2万"
"3","永卓控股有限公司",".net开发工程师","苏州-张家港","1万-1.8万"
"4","外企德科","c/c++软件开发工程师","苏州-虎丘","1.7万-3万"
"5","苏州峻德信息服务有限公司","初级.net开发工程师","苏州-虎丘","150-200/天"
"6","苏州市路远智能装备有限公司","软件工程师","苏州-吴中","6千-1万"
"7","外企德科","软件工程师（java/c++/python/js/go/c测试web前端）","苏州-虎丘","1.3万-2.6万"
"8","拓德科技","Java开发工程师","苏州-工业园区","5千-8千"
"9","苏州路腾软件有限公司","JavaWeb开发","苏州-吴中","6千-1.2万"
"10","外企德科","软件开发工程师","苏州-虎丘","1.8万-3.5万"
"11","苏州英敏基生物技术有限公司","软件开发工程师","苏州","9千-1.8万"
"12","祎智量芯(江苏)电子科技有限公司","C#开发工程师","苏州-太仓","6千-1万"
"13","外企德科","C/C++/Java/JS/Python/安卓/web","苏州-虎丘","1.5万-3万"
"14","研华(中国)公司","C语言助理工程师（实习生/应届毕业生）(J10447)","苏州-昆山","7千-1万"
"15","上海优集工业软件有限公司","UG/NX二次开发","苏州-吴中","1万-2万"
"16","外企德科","软件工程师（java/C/C++/JS/python/Go）","苏州-虎丘","1.5万-3万"
"17","苏州凌创电子系统有限公司","嵌入式软件实习生","苏州","6千-1万"
"18","立臻科技(昆山)有限公司","软件开发工程师（实验室方向）","苏州-昆山","1万-2万"
"19","外企德科","研发【Java/Python/C/C++/JS/Go/Scala】","苏州-虎丘","1.5万-3万"
"20","京隆科技(苏州)有限公司","软件开发工程师","苏州","4千-6千"
"21","江苏江南商贸集团有限责任公司","软件开发工程师（国企编制）","苏州-常熟","6千-1万"
"22","外企德科","pythonJavaCC++JS开发工程师","苏州-虎丘","1.8万-3.5万"
"23","江苏谷科软件有限公司","java开发工程师","苏州-吴江","1.2万-2万"
"24","苏州索拉科技有限公司",".net开发工程师","苏州-姑苏","8千-1.6万"
"25","软通动力信息技术(集团)股份有限公司","Java开发工程师（银行项目）","苏州-虎丘","1.1万-2万"
"26","苏州恒浦测试科技有限公司","软件工程师（应届生）","苏州-昆山","5千-8千"
"27","苏州滔为智能科技有限公司","C#软件开发工程师（23应届）","苏州-虎丘","6千-7千"
"28","友谊时光科技股份有限公司","游戏服务端开发（java）","苏州","8千-1.2万"
"29","苏州集畅自动化科技发展有限公司",".NET软件开发工程师","苏州","6千-1.2万"
"0","苏州工业园区精泰达自动化有限公司","助理软件工程师","苏州-吴中","8千-1.2万"
"1","苏州汇诚智通科技有限公司","Java开发工程师","苏州-吴中","7千-1.2万"
"2","大健云仓科技(苏州)有限公司","JAVA开发工程师","苏州-虎丘","1万-1.5万"
"3","苏州信亨自动化科技有限公司","Java高级开发工程师","苏州-工业园区","1.5万-2万"
"4","旺宏微电子(苏州)有限公司","Utility软件开发工程师-本科","苏州","8千-1.5万"
"5","杰信软件科技（苏州）有限公司","Java软件工程师（急聘）","苏州-工业园区","4千-8千"
"6","上海畅启软件有限公司","Java开发工程师","苏州-吴中","1.3万-1.5万"
"7","法本信息","Java开发工程师（学信网，国企，福利好，线上面试,银行背景）","苏州-吴中","1.2万-2万"
"8","苏州泰克赛威网络科技有限公司","C#开发工程师","苏州-姑苏","5千-1万"
"9","苏州科晴信息科技有限公司","初级程序员实习","苏州","4千-6千"
"10","上海桓领信息科技有限公司","java开发工程师","苏州-吴江","1.2万-2.4万"
"11","大豪科技","上位机软件开发工程师","苏州-常熟","1万-2万"
"12","苏州工业园区慧鱼科技有限公司","软件开发工程师（Windows系统）","苏州","8千-1.6万"
"13","昆仑太科(北京)技术股份有限公司","嵌入式软件工程师","苏州-昆山","7千-1.4万"
"14","苏州智物数字科技有限公司","软件工程师","苏州-虎丘","6千-1.2万"
"15","苏州大尊装饰工程有限公司","Java高级开发工程师","苏州-吴中","1.6万-2万"
"16","苏州奇流信息科技有限公司","python软件工程师","苏州","8千-1万"
"17","苏州菲镭泰克激光技术有限公司","软件应用工程师","苏州-张家港","7千-1.2万"
"18","昆山贝尔特商务咨询有限公司","c#软件开发","苏州-虎丘","1.2万-1.8万"
"19","苏州蓝博控制技术有限公司","嵌入式软件工程师","苏州-工业园区","8千-1.2万"
"20","南京迈特望科技股份有限公司","Python开发/苏州","苏州-吴中","1.3万-1.5万"
"21","斑马(昆山)智能信息科技有限公司",".net初级开发工程师","苏州-昆山","6千-8千"
"22","俐玛光电科技(北京)有限公司","C#开发工程师","苏州-吴中","1万-2万"
"23","苏州锐涛光电科技有限公司","软件研发工程师","苏州","1万-1.5万"
"24","杰信软件科技（苏州）有限公司","Java软件实施工程师（实习）","苏州-吴中","3千-4千"
"25","江苏远大信息股份有限公司","java开发工程师（报表类）-张家港","苏州-张家港","1万-1.5万"
"26","元动未来(北京)科技有限公司",".net软件开发工程师","苏州-张家港","7千-1.4万"
"27","国泰新点软件股份有限公司",".NET开发工程师（苏州）","苏州-虎丘","9千-1.4万"
"28","苏州卓越光华信息技术有限公司","软件开发工程师C#","苏州","8千-1.3万"
"29","智联猎头","软件开发工程师","苏州-昆山","1.5万-2万"
"0","昆达电脑科技（昆山）有限公司","软件开发工程师","苏州","6千-9千"
"1","苏州工业园区人力资源和社会保障局","初级软件开发工程师-凌志软件","苏州-虎丘","5千-8千"
"2","苏州安特威工业智能科技股份有限公司","软件开发工程师","苏州-吴江","1.2万-1.6万"
"3","苏州三光科技股份有限公司","嵌入式软件工程师","苏州-虎丘","9千-1.5万"
"4","苏州金橙子激光技术有限公司","软件开发工程师","苏州-虎丘","1.8万-2.6万"
"5","凌志软件","对日Java开发（24届）","苏州-虎丘","4千-6千"
"6","中国电信苏州分公司","JAVA开发","苏州-姑苏","1.2万-1.5万"
